"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_MICS","PUBLISHED","2005","WPR","MNG","URB","82.6","82.64935","","",""
"cci","EQ_MICS","PUBLISHED","2010","WPR","MNG","RUR","85.6","85.55144","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","SEN","RUR","48.7","48.71877","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","SEN","URB","65.3","65.26457","","",""
"cci","EQ_DHS","PUBLISHED","2003","EUR","TUR","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2010","AFR","TZA","RUR","67.4","67.40740","","",""
"cci","EQ_DHS","PUBLISHED","1996","EUR","UZB","URB","81.3","81.32677","","",""
"cci","EQ_DHS","PUBLISHED","2013","AMR","DOM","URB","81.5","81.53476","","",""
"cci","EQ_DHS","PUBLISHED","2005","EMR","EGY","RUR","73.0","72.99885","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","GHA","URB","70.3","70.30270","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","GMB","RUR","60.3","60.29077","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","MLI","RUR","44.7","44.74697","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","MNE","RUR","83.4","83.42848","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","MWI","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","AFR","NAM","URB","77.5","77.52719","","",""
"cci","EQ_MICS","PUBLISHED","2006","WPR","VNM","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1996","AFR","ZMB","RUR","60.9","60.85951","","",""
"cci","EQ_MICS","PUBLISHED","2005","AFR","BDI","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2006","AFR","BEN","RUR","53.8","53.78567","","",""
"cci","EQ_MICS","PUBLISHED","2010","AMR","CUB","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2005","EUR","GEO","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1998","AMR","GTM","URB","66.3","66.25502","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","HTI","RUR","44.9","44.86500","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","MWI","RUR","60.5","60.45226","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","NAM","RUR","76.5","76.54541","","",""
"cci","EQ_DHS","PUBLISHED","2012","EMR","PAK","URB","73.3","73.32836","","",""
"cci","EQ_DHS","PUBLISHED","2007","AMR","PER","URB","82.9","82.89885","","",""
"cci","EQ_DHS","PUBLISHED","1993","WPR","PHL","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2013","WPR","VNM","RUR","87.1","87.09817","","",""
"cci","EQ_DHS","PUBLISHED","2007","AFR","ZMB","RUR","65.4","65.42353","","",""
"cci","EQ_MICS","PUBLISHED","2005","AFR","BDI","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2011","SEAR","BGD","RUR","65.8","65.81850","","",""
"cci","EQ_MICS","PUBLISHED","2011","AMR","BLZ","RUR","78.2","78.18192","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","GHA","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2011","AFR","GHA","RUR","64.8","64.78336","","",""
"cci","EQ_DHS","PUBLISHED","1995","EUR","KAZ","RUR","62.6","62.57235","","",""
"cci","EQ_MICS","PUBLISHED","2006","EUR","KAZ","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2006","EMR","PAK","RUR","50.5","50.50111","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","PER","URB","85.6","85.55862","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","SRB","URB","83.2","83.18683","","",""
"cci","EQ_DHS","PUBLISHED","2006","AFR","SWZ","URB","80.5","80.46582","","",""
"cci","EQ_DHS","PUBLISHED","2003","AFR","BFA","URB","73.3","73.29208","","",""
"cci","EQ_DHS","PUBLISHED","1996","SEAR","BGD","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2003","AMR","BOL","URB","73.5","73.47851","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","CAF","URB","63.6","63.55186","","",""
"cci","EQ_DHS","PUBLISHED","2003","EMR","MAR","RUR","64.2","64.18703","","",""
"cci","EQ_DHS","PUBLISHED","1997","AFR","MDG","RUR","41.8","41.81835","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","NAM","RUR","64.5","64.54099","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","NAM","URB","81.3","81.34827","","",""
"cci","EQ_DHS","PUBLISHED","1996","AFR","TCD","URB","46.4","46.44452","","",""
"cci","EQ_DHS","PUBLISHED","2012","EUR","TJK","RUR","73.2","73.20165","","",""
"cci","EQ_MICS","PUBLISHED","2006","EMR","YEM","URB","69.0","69.00443","","",""
"cci","EQ_DHS","PUBLISHED","1999","AFR","ZWE","URB","84.5","84.46448","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","COL","URB","80.2","80.15237","","",""
"cci","EQ_MICS","PUBLISHED","2010","AMR","CUB","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","EMR","EGY","URB","78.2","78.15535","","",""
"cci","EQ_MICS","PUBLISHED","2011","AFR","GHA","URB","76.2","76.23624","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","GNB","URB","64.7","64.71760","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","MWI","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1998","AFR","NER","RUR","26.3","26.29922","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","NER","URB","75.2","75.18101","","",""
"cci","EQ_DHS","PUBLISHED","2001","AMR","NIC","URB","82.4","82.37666","","",""
"cci","EQ_DHS","PUBLISHED","2000","AMR","PER","RUR","66.6","66.55354","","",""
"cci","EQ_DHS","PUBLISHED","1999","AFR","TZA","URB","74.6","74.59483","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","UGA","RUR","62.9","62.88136","","",""
"cci","EQ_DHS","PUBLISHED","1998","AFR","ZAF","RUR","71.9","71.89034","","",""
"cci","EQ_DHS","PUBLISHED","1999","AFR","ZWE","RUR","74.2","74.17189","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","CUB","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2007","AMR","DOM","URB","81.8","81.83012","","",""
"cci","EQ_DHS","PUBLISHED","1998","AFR","GHA","RUR","47.5","47.47553","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","GIN","RUR","42.6","42.62875","","",""
"cci","EQ_DHS","PUBLISHED","2005","EUR","MDA","RUR","85.0","85.01358","","",""
"cci","EQ_DHS","PUBLISHED","1995","AFR","MLI","RUR","26.3","26.33603","","",""
"cci","EQ_MICS","PUBLISHED","2007","AFR","MRT","RUR","42.9","42.86429","","",""
"cci","EQ_DHS","PUBLISHED","2000","AFR","MWI","URB","74.3","74.29282","","",""
"cci","EQ_DHS","PUBLISHED","2012","EUR","TJK","URB","76.3","76.31445","","",""
"cci","EQ_DHS","PUBLISHED","1993","EUR","TUR","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2006","EUR","UZB","RUR","83.6","83.61356","","",""
"cci","EQ_MICS","PUBLISHED","2007","WPR","VUT","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1998","AFR","CMR","URB","67.5","67.46675","","",""
"cci","EQ_MICS","PUBLISHED","2006","EMR","DJI","URB","64.6","64.56781","","",""
"cci","EQ_DHS","PUBLISHED","2011","AMR","HND","RUR","82.1","82.07847","","",""
"cci","EQ_DHS","PUBLISHED","1994","AMR","HTI","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2012","AMR","LCA","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2004","AFR","LSO","URB","77.1","77.05680","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","NGA","RUR","31.5","31.46696","","",""
"cci","EQ_DHS","PUBLISHED","2011","SEAR","NPL","URB","78.9","78.85242","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","UKR","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2006","WPR","VNM","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1996","SEAR","BGD","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2004","SEAR","BGD","RUR","56.8","56.78696","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","COG","RUR","62.0","62.03891","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","COG","URB","76.9","76.87313","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","COM","RUR","58.1","58.12331","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","HTI","URB","56.6","56.60970","","",""
"cci","EQ_DHS","PUBLISHED","1998","SEAR","IND","URB","71.9","71.90166","","",""
"cci","EQ_DHS","PUBLISHED","2005","EUR","MDA","URB","84.2","84.16157","","",""
"cci","EQ_DHS","PUBLISHED","1997","AFR","MDG","URB","60.1","60.06026","","",""
"cci","EQ_DHS","PUBLISHED","2013","WPR","PHL","URB","79.8","79.82093","","",""
"cci","EQ_MICS","PUBLISHED","2010","EMR","SDN","RUR","45.0","44.99567","","",""
"cci","EQ_DHS","PUBLISHED","1998","EUR","TUR","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2006","AFR","UGA","URB","71.4","71.44571","","",""
"cci","EQ_MICS","PUBLISHED","2012","AMR","BRB","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2010","SEAR","BTN","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","AFR","GAB","RUR","47.9","47.91996","","",""
"cci","EQ_DHS","PUBLISHED","2003","AFR","GHA","RUR","53.4","53.42675","","",""
"cci","EQ_DHS","PUBLISHED","2003","AFR","KEN","RUR","58.7","58.70797","","",""
"cci","EQ_DHS","PUBLISHED","1997","EUR","KGZ","URB","82.9","82.87296","","",""
"cci","EQ_MICS","PUBLISHED","2012","AMR","LCA","RUR","No data","","","","Not calculated."
